symbol,date,open,high,low,close,volume,"('date', '')","('open', 'VNM.VN')","('high', 'VNM.VN')","('low', 'VNM.VN')","('close', 'VNM.VN')","('volume', 'VNM.VN')"
VNM,2018-01-16,99470.0,99580.0,98930.0,99470.0,701460.0,,,,,,
VNM,2018-01-17,96040.0,99340.0,95500.0,96040.0,891480.0,,,,,,
VNM,2018-01-18,95500.0,98180.0,95260.0,98180.0,921800.0,,,,,,
VNM,2018-01-19,98570.0,99990.0,98180.0,98180.0,1094050.0,,,,,,
VNM,2018-01-22,98850.0,101090.0,98370.0,101040.0,1031780.0,,,,,,
VNM,2018-01-25,99800.0,101140.0,98850.0,98850.0,1059420.0,,,,,,
VNM,2018-01-26,98890.0,101330.0,98890.0,101140.0,672410.0,,,,,,
VNM,2018-01-29,101140.0,101240.0,98610.0,98610.0,573230.0,,,,,,
VNM,2018-01-30,97410.0,97890.0,96890.0,97650.0,843170.0,,,,,,
VNM,2018-01-31,96660.0,99100.0,96040.0,97190.0,1120270.0,,,,,,
VNM,2018-02-01,97410.0,98650.0,95990.0,96940.0,451270.0,,,,,,
VNM,2018-02-02,96210.0,98850.0,96210.0,98850.0,677340.0,,,,,,
VNM,2018-02-05,96710.0,97890.0,96310.0,97000.0,504920.0,,,,,,
VNM,2018-02-06,91690.0,96460.0,90490.0,94520.0,1484810.0,,,,,,
VNM,2018-02-07,97320.0,97320.0,95600.0,95660.0,507670.0,,,,,,
VNM,2018-02-08,95500.0,95660.0,93780.0,94110.0,234230.0,,,,,,
VNM,2018-02-09,90730.0,91690.0,89290.0,91220.0,856530.0,,,,,,
VNM,2018-02-12,90260.0,91690.0,90260.0,91690.0,970250.0,,,,,,
VNM,2018-02-13,91690.0,93130.0,91690.0,92410.0,541650.0,,,,,,
VNM,2018-02-21,94520.0,97040.0,92640.0,97040.0,649890.0,,,,,,
VNM,2018-02-22,97040.0,97040.0,95070.0,95990.0,449840.0,,,,,,
VNM,2018-02-23,96940.0,97190.0,95010.0,96460.0,481780.0,,,,,,
VNM,2018-02-26,96460.0,97410.0,95500.0,95500.0,889620.0,,,,,,
VNM,2018-02-27,96460.0,96460.0,94560.0,95500.0,457260.0,,,,,,
VNM,2018-02-28,95010.0,95320.0,93610.0,93610.0,886780.0,,,,,,
VNM,2018-03-01,93610.0,95010.0,93610.0,93610.0,732890.0,,,,,,
VNM,2018-03-02,93610.0,95260.0,93130.0,95170.0,412780.0,,,,,,
VNM,2018-03-05,95410.0,97890.0,94790.0,96660.0,712070.0,,,,,,
VNM,2018-03-06,96660.0,97190.0,95120.0,96460.0,786240.0,,,,,,
VNM,2018-03-07,96040.0,100280.0,96040.0,98420.0,1981110.0,,,,,,
VNM,2018-03-08,98850.0,99940.0,98850.0,99800.0,592410.0,,,,,,
VNM,2018-03-09,99800.0,100570.0,99340.0,99340.0,1021150.0,,,,,,
VNM,2018-03-12,99580.0,100630.0,98370.0,98370.0,828230.0,,,,,,
VNM,2018-03-13,98370.0,100770.0,98370.0,100280.0,1265790.0,,,,,,
VNM,2018-03-14,100280.0,102190.0,99890.0,101730.0,1133180.0,,,,,,
VNM,2018-03-15,101730.0,101730.0,100190.0,100380.0,623080.0,,,,,,
VNM,2018-03-16,100770.0,102190.0,99800.0,102190.0,1730500.0,,,,,,
VNM,2018-03-19,102420.0,102420.0,100520.0,101240.0,801280.0,,,,,,
VNM,2018-03-20,101240.0,101240.0,99800.0,99800.0,684730.0,,,,,,
VNM,2018-03-21,99800.0,100800.0,99800.0,99800.0,907550.0,,,,,,
VNM,2018-03-22,101190.0,101190.0,99800.0,99800.0,478650.0,,,,,,
VNM,2018-03-23,98420.0,99340.0,97950.0,98850.0,685220.0,,,,,,
VNM,2018-03-26,98850.0,100520.0,98650.0,99580.0,643500.0,,,,,,
VNM,2018-03-27,100280.0,102520.0,99800.0,101730.0,1660410.0,,,,,,
VNM,2018-03-28,101730.0,102190.0,100770.0,100770.0,585030.0,,,,,,
VNM,2018-03-29,100770.0,100910.0,98850.0,98850.0,758530.0,,,,,,
VNM,2018-03-30,98850.0,98850.0,96040.0,96940.0,1529690.0,,,,,,
VNM,2018-04-02,96710.0,96890.0,94790.0,95380.0,1768080.0,,,,,,
VNM,2018-04-03,95500.0,95750.0,91980.0,92510.0,2017950.0,,,,,,
VNM,2018-04-04,92510.0,95500.0,92510.0,95500.0,991130.0,,,,,,
VNM,2018-04-05,95500.0,95500.0,93500.0,94210.0,452710.0,,,,,,
VNM,2018-04-06,94160.0,95380.0,94080.0,94650.0,621180.0,,,,,,
VNM,2018-04-09,95010.0,95120.0,94080.0,94470.0,699250.0,,,,,,
VNM,2018-04-10,94470.0,94470.0,93130.0,94080.0,1093850.0,,,,,,
VNM,2018-04-11,93610.0,94320.0,93310.0,93610.0,846970.0,,,,,,
VNM,2018-04-12,93830.0,93980.0,93310.0,93730.0,751180.0,,,,,,
VNM,2018-04-13,94080.0,94080.0,93370.0,93460.0,727110.0,,,,,,
VNM,2018-04-16,93460.0,93460.0,90730.0,90730.0,653380.0,,,,,,
VNM,2018-04-17,89530.0,90260.0,86540.0,88100.0,1217530.0,,,,,,
VNM,2018-04-18,88350.0,89530.0,88000.0,89530.0,756500.0,,,,,,
VNM,2018-04-19,89530.0,89920.0,89010.0,89530.0,845170.0,,,,,,
VNM,2018-04-20,89290.0,89290.0,88350.0,88830.0,739700.0,,,,,,
VNM,2018-04-23,88350.0,88780.0,86900.0,87100.0,636940.0,,,,,,
VNM,2018-04-24,85470.0,86450.0,84090.0,85950.0,1469750.0,,,,,,
VNM,2018-04-26,86860.0,86860.0,85950.0,86450.0,959520.0,,,,,,
VNM,2018-04-27,87100.0,90260.0,86900.0,88350.0,997890.0,,,,,,
VNM,2018-05-02,88830.0,88830.0,88100.0,88100.0,619230.0,,,,,,
VNM,2018-05-03,89290.0,89290.0,87860.0,88350.0,878320.0,,,,,,
