symbol,date,open,high,low,close,volume,"('date', '')","('open', 'STB.VN')","('high', 'STB.VN')","('low', 'STB.VN')","('close', 'STB.VN')","('volume', 'STB.VN')"
STB,2017-05-09,11750.0,11900.0,11700.0,11900.0,2410010.0,,,,,,
STB,2017-05-10,11900.0,12500.0,11900.0,12400.0,6651760.0,,,,,,
STB,2017-05-11,12600.0,12650.0,12200.0,12350.0,3610150.0,,,,,,
STB,2017-05-12,12200.0,12450.0,12200.0,12200.0,1873730.0,,,,,,
STB,2017-05-15,12350.0,13000.0,12150.0,12650.0,5718970.0,,,,,,
STB,2017-05-16,12600.0,12900.0,12300.0,12350.0,3540640.0,,,,,,
STB,2017-05-17,12500.0,12600.0,12350.0,12500.0,2663290.0,,,,,,
STB,2017-05-18,12500.0,12900.0,12400.0,12450.0,3435170.0,,,,,,
STB,2017-05-19,12450.0,12550.0,12350.0,12400.0,2610790.0,,,,,,
STB,2017-05-22,12400.0,12900.0,12350.0,12700.0,5150660.0,,,,,,
STB,2017-05-23,12800.0,12900.0,12400.0,12400.0,3420220.0,,,,,,
STB,2017-05-24,12500.0,12750.0,12400.0,12550.0,2937350.0,,,,,,
STB,2017-05-25,12550.0,12750.0,12350.0,12400.0,4879100.0,,,,,,
STB,2017-05-26,12400.0,12450.0,12250.0,12300.0,2984470.0,,,,,,
STB,2017-05-29,12450.0,13000.0,12400.0,12700.0,6539820.0,,,,,,
STB,2017-05-30,13000.0,13100.0,12550.0,12600.0,4936770.0,,,,,,
STB,2017-05-31,12600.0,12750.0,12450.0,12500.0,3648970.0,,,,,,
STB,2017-06-01,12600.0,12650.0,12450.0,12650.0,1142170.0,,,,,,
STB,2017-06-02,12650.0,12650.0,12400.0,12400.0,1721590.0,,,,,,
STB,2017-06-05,12600.0,12900.0,12500.0,12700.0,2279100.0,,,,,,
STB,2017-06-06,12750.0,13550.0,12750.0,13550.0,13478470.0,,,,,,
STB,2017-06-07,13900.0,13950.0,13400.0,13450.0,6012030.0,,,,,,
STB,2017-06-08,13600.0,13950.0,13300.0,13800.0,3670150.0,,,,,,
STB,2017-06-09,13800.0,14250.0,13700.0,13900.0,8232210.0,,,,,,
STB,2017-06-12,14000.0,14200.0,13700.0,13800.0,4834940.0,,,,,,
STB,2017-06-13,13900.0,13950.0,13400.0,13900.0,5375720.0,,,,,,
STB,2017-06-14,14100.0,14100.0,13900.0,14000.0,3775730.0,,,,,,
STB,2017-06-15,14000.0,14050.0,13700.0,13750.0,3015650.0,,,,,,
STB,2017-06-16,13700.0,13900.0,13600.0,13900.0,15373500.0,,,,,,
STB,2017-06-19,14000.0,14300.0,13950.0,14150.0,6721540.0,,,,,,
STB,2017-06-20,14300.0,14600.0,14300.0,14550.0,6390010.0,,,,,,
STB,2017-06-21,14550.0,14700.0,14200.0,14600.0,7121830.0,,,,,,
STB,2017-06-22,14550.0,14600.0,14200.0,14300.0,4770860.0,,,,,,
STB,2017-06-23,14200.0,14300.0,13900.0,14200.0,4049930.0,,,,,,
STB,2017-06-26,14200.0,14200.0,13950.0,14200.0,3266330.0,,,,,,
STB,2017-06-27,14400.0,14650.0,14200.0,14350.0,3374550.0,,,,,,
STB,2017-06-28,14400.0,14400.0,14000.0,14200.0,4267300.0,,,,,,
STB,2017-06-29,14200.0,14200.0,13950.0,14100.0,4432020.0,,,,,,
STB,2017-06-30,14100.0,14200.0,13450.0,13800.0,8296560.0,,,,,,
STB,2017-07-03,13900.0,14000.0,13600.0,13600.0,3454090.0,,,,,,
STB,2017-07-04,13600.0,13650.0,12950.0,13200.0,5322950.0,,,,,,
STB,2017-07-05,13200.0,13500.0,12900.0,13450.0,3235010.0,,,,,,
STB,2017-07-06,13550.0,13750.0,13350.0,13450.0,2208080.0,,,,,,
STB,2017-07-07,13450.0,13450.0,13000.0,13000.0,3089000.0,,,,,,
STB,2017-07-10,13100.0,13200.0,12800.0,12850.0,2950630.0,,,,,,
STB,2017-07-11,12850.0,12900.0,12400.0,12600.0,2802160.0,,,,,,
STB,2017-07-12,12600.0,12850.0,12550.0,12600.0,1922680.0,,,,,,
STB,2017-07-13,12650.0,12650.0,12400.0,12400.0,2286410.0,,,,,,
STB,2017-07-14,12350.0,12500.0,12050.0,12100.0,3526580.0,,,,,,
STB,2017-07-17,12000.0,12000.0,11400.0,11700.0,4502010.0,,,,,,
STB,2017-07-18,11700.0,12100.0,11500.0,12100.0,2805030.0,,,,,,
STB,2017-07-19,12400.0,12400.0,12050.0,12050.0,1307330.0,,,,,,
STB,2017-07-20,12000.0,12050.0,11800.0,11800.0,1355350.0,,,,,,
STB,2017-07-21,11800.0,12050.0,11700.0,11700.0,2077700.0,,,,,,
STB,2017-07-24,11800.0,11900.0,11650.0,11850.0,2354130.0,,,,,,
STB,2017-07-25,11850.0,12500.0,11850.0,12500.0,3406030.0,,,,,,
STB,2017-07-26,12550.0,12950.0,12500.0,12800.0,4427250.0,,,,,,
STB,2017-07-27,12600.0,12900.0,12600.0,12650.0,1883150.0,,,,,,
STB,2017-07-28,12600.0,12850.0,12500.0,12800.0,2945770.0,,,,,,
STB,2017-07-31,12800.0,13200.0,12700.0,13100.0,4492180.0,,,,,,
STB,2017-08-01,13100.0,13100.0,12950.0,13000.0,1812500.0,,,,,,
STB,2017-08-02,12700.0,12900.0,12500.0,12550.0,4832580.0,,,,,,
STB,2017-08-03,12400.0,12700.0,12300.0,12300.0,3983410.0,,,,,,
STB,2017-08-04,12500.0,12750.0,12400.0,12700.0,2336320.0,,,,,,
STB,2017-08-07,12700.0,12750.0,12550.0,12550.0,1886350.0,,,,,,
STB,2017-08-08,12600.0,12600.0,12200.0,12200.0,2403020.0,,,,,,
STB,2017-08-09,12200.0,12200.0,11800.0,11800.0,3700060.0,,,,,,
STB,2017-08-10,11800.0,12100.0,11800.0,11950.0,1484820.0,,,,,,
STB,2017-08-11,11950.0,12100.0,11850.0,11950.0,849270.0,,,,,,
STB,2017-08-14,12000.0,12150.0,11950.0,12100.0,786880.0,,,,,,
STB,2017-08-15,12250.0,12250.0,11900.0,11900.0,1378810.0,,,,,,
STB,2017-08-16,11900.0,12050.0,11700.0,12000.0,1952380.0,,,,,,
STB,2017-08-17,12050.0,12100.0,11850.0,11850.0,895770.0,,,,,,
STB,2017-08-18,11850.0,11900.0,11650.0,11750.0,928080.0,,,,,,
STB,2017-08-21,11800.0,11900.0,11600.0,11700.0,1543440.0,,,,,,
STB,2017-08-22,11800.0,11800.0,11600.0,11700.0,961110.0,,,,,,
STB,2017-08-23,11750.0,11950.0,11650.0,11800.0,582450.0,,,,,,
STB,2017-08-24,11700.0,11900.0,11700.0,11750.0,1209700.0,,,,,,
STB,2017-08-25,11750.0,11800.0,11700.0,11800.0,1158950.0,,,,,,
STB,2017-08-28,11800.0,11900.0,11700.0,11750.0,1104120.0,,,,,,
STB,2017-08-29,11750.0,11800.0,11600.0,11600.0,2181750.0,,,,,,
STB,2017-08-30,11750.0,11750.0,11400.0,11450.0,1985990.0,,,,,,
STB,2017-08-31,11400.0,11800.0,11300.0,11700.0,2599940.0,,,,,,
STB,2017-09-01,11650.0,11750.0,11500.0,11600.0,1408480.0,,,,,,
STB,2017-09-05,11700.0,11900.0,11500.0,11850.0,2866040.0,,,,,,
STB,2017-09-06,11800.0,11900.0,11650.0,11650.0,1144370.0,,,,,,
STB,2017-09-07,11650.0,11900.0,11650.0,11750.0,1020940.0,,,,,,
STB,2017-09-08,11750.0,11800.0,11650.0,11650.0,912570.0,,,,,,
STB,2017-09-11,11700.0,11700.0,11600.0,11600.0,1153080.0,,,,,,
STB,2017-09-12,11600.0,11650.0,11450.0,11450.0,1544140.0,,,,,,
STB,2017-09-13,11500.0,11550.0,11400.0,11500.0,1356240.0,,,,,,
STB,2017-09-14,11550.0,11700.0,11450.0,11700.0,2108820.0,,,,,,
STB,2017-09-15,11700.0,11750.0,11500.0,11500.0,5536640.0,,,,,,
STB,2017-09-18,11550.0,11950.0,11550.0,11800.0,1770890.0,,,,,,
STB,2017-09-19,11800.0,11900.0,11700.0,11750.0,1529880.0,,,,,,
STB,2017-09-20,11750.0,11750.0,11650.0,11700.0,969630.0,,,,,,
STB,2017-09-21,11700.0,11700.0,11550.0,11600.0,1437280.0,,,,,,
STB,2017-09-22,11650.0,11750.0,11550.0,11550.0,1343360.0,,,,,,
STB,2017-09-25,11450.0,12350.0,11450.0,12300.0,7067150.0,,,,,,
STB,2017-09-26,12550.0,12800.0,12350.0,12500.0,5174150.0,,,,,,
STB,2017-09-27,12350.0,12450.0,12200.0,12250.0,1455920.0,,,,,,
STB,2017-09-28,12200.0,12900.0,12200.0,12600.0,6772290.0,,,,,,
STB,2017-09-29,12600.0,12650.0,12400.0,12500.0,1935010.0,,,,,,
STB,2017-10-02,12500.0,12650.0,12300.0,12300.0,1909860.0,,,,,,
STB,2017-10-03,12300.0,12300.0,12000.0,12150.0,1844640.0,,,,,,
STB,2017-10-04,12050.0,12350.0,12000.0,12200.0,2031090.0,,,,,,
STB,2017-10-05,12300.0,12350.0,12050.0,12100.0,1454260.0,,,,,,
STB,2017-10-06,12100.0,12300.0,12050.0,12300.0,1067440.0,,,,,,
STB,2017-10-09,12600.0,12600.0,12350.0,12450.0,1817050.0,,,,,,
STB,2017-10-10,12500.0,12500.0,12350.0,12450.0,1321470.0,,,,,,
STB,2017-10-11,12200.0,12200.0,11600.0,11650.0,9309570.0,,,,,,
STB,2017-10-12,11650.0,11900.0,11600.0,11600.0,5790330.0,,,,,,
STB,2017-10-13,11350.0,11600.0,11300.0,11500.0,4143320.0,,,,,,
STB,2017-10-16,11500.0,11600.0,11350.0,11600.0,1481020.0,,,,,,
STB,2017-10-17,11600.0,11600.0,11450.0,11450.0,3036700.0,,,,,,
STB,2017-10-18,11550.0,11550.0,11400.0,11400.0,2845200.0,,,,,,
STB,2017-10-19,11400.0,11600.0,11350.0,11500.0,2164080.0,,,,,,
STB,2017-10-20,11550.0,11550.0,11450.0,11550.0,1585160.0,,,,,,
STB,2017-10-23,11450.0,11500.0,11250.0,11300.0,1899440.0,,,,,,
STB,2017-10-24,11400.0,11400.0,11200.0,11300.0,1902950.0,,,,,,
STB,2017-10-25,11300.0,11400.0,11300.0,11300.0,909250.0,,,,,,
STB,2017-10-26,11350.0,11350.0,11100.0,11350.0,1787310.0,,,,,,
STB,2017-10-27,11300.0,11350.0,11100.0,11350.0,1152360.0,,,,,,
STB,2017-10-30,11400.0,11400.0,11150.0,11250.0,1498710.0,,,,,,
STB,2017-10-31,11250.0,11250.0,11000.0,11000.0,1572270.0,,,,,,
STB,2017-11-01,11150.0,11200.0,11050.0,11200.0,1126140.0,,,,,,
STB,2017-11-02,11300.0,11300.0,11100.0,11300.0,1035130.0,,,,,,
STB,2017-11-03,11350.0,11350.0,11100.0,11100.0,700700.0,,,,,,
STB,2017-11-06,11250.0,11250.0,11100.0,11200.0,912390.0,,,,,,
STB,2017-11-07,11250.0,11250.0,11150.0,11200.0,754030.0,,,,,,
STB,2017-11-08,11200.0,11250.0,11150.0,11200.0,1168460.0,,,,,,
STB,2017-11-09,11200.0,11250.0,11100.0,11150.0,594710.0,,,,,,
STB,2017-11-10,11100.0,11450.0,11100.0,11400.0,1951220.0,,,,,,
STB,2017-11-13,11500.0,11500.0,11200.0,11200.0,995580.0,,,,,,
STB,2017-11-14,11200.0,11300.0,11150.0,11150.0,1577250.0,,,,,,
STB,2017-11-15,11200.0,11450.0,11150.0,11450.0,2355030.0,,,,,,
STB,2017-11-16,11400.0,12050.0,11400.0,12000.0,7844650.0,,,,,,
STB,2017-11-17,12000.0,12150.0,11650.0,11750.0,4020830.0,,,,,,
STB,2017-11-20,11700.0,11850.0,11650.0,11850.0,1850790.0,,,,,,
STB,2017-11-21,11800.0,11950.0,11800.0,11850.0,2810990.0,,,,,,
STB,2017-11-22,11900.0,12400.0,11750.0,12400.0,7063090.0,,,,,,
STB,2017-11-23,12450.0,12600.0,12150.0,12350.0,4070330.0,,,,,,
STB,2017-11-24,12250.0,12450.0,12150.0,12400.0,2655650.0,,,,,,
STB,2017-11-27,12300.0,12700.0,12250.0,12550.0,4981930.0,,,,,,
STB,2017-11-28,12600.0,12650.0,12400.0,12600.0,3207750.0,,,,,,
STB,2017-11-29,12900.0,13300.0,12850.0,13200.0,11303760.0,,,,,,
STB,2017-11-30,13350.0,13400.0,12950.0,13100.0,6055990.0,,,,,,
STB,2017-12-01,13050.0,13100.0,12900.0,13000.0,3311710.0,,,,,,
STB,2017-12-04,13100.0,13700.0,13050.0,13700.0,10088860.0,,,,,,
STB,2017-12-05,13700.0,13700.0,13000.0,13000.0,5927870.0,,,,,,
STB,2017-12-06,13000.0,13250.0,12800.0,13250.0,7182320.0,,,,,,
STB,2017-12-07,13300.0,13350.0,12850.0,13000.0,5844310.0,,,,,,
STB,2017-12-08,12950.0,13050.0,12850.0,12950.0,3170840.0,,,,,,
