symbol,date,open,high,low,close,volume,"('date', '')","('open', 'VHM.VN')","('high', 'VHM.VN')","('low', 'VHM.VN')","('close', 'VHM.VN')","('volume', 'VHM.VN')"
VHM,2018-10-30,43790.0,45900.0,43710.0,45240.0,574230.0,,,,,,
VHM,2018-10-31,45390.0,48380.0,45390.0,48380.0,1099060.0,,,,,,
VHM,2018-11-01,47430.0,51000.0,47430.0,50270.0,871070.0,,,,,,
VHM,2018-11-02,51000.0,53770.0,51000.0,52460.0,1170010.0,,,,,,
VHM,2018-11-05,53190.0,53770.0,51730.0,52460.0,758430.0,,,,,,
VHM,2018-11-06,53190.0,53190.0,51730.0,52460.0,379000.0,,,,,,
VHM,2018-11-07,52750.0,52970.0,51580.0,52970.0,298710.0,,,,,,
VHM,2018-11-08,53480.0,54420.0,53190.0,54420.0,481780.0,,,,,,
VHM,2018-11-09,54280.0,55810.0,53910.0,55370.0,520370.0,,,,,,
VHM,2018-11-12,54930.0,55520.0,54720.0,55370.0,274460.0,,,,,,
VHM,2018-11-13,53260.0,55370.0,53260.0,55230.0,271790.0,,,,,,
VHM,2018-11-14,55230.0,55370.0,54640.0,55230.0,284050.0,,,,,,
VHM,2018-11-15,54500.0,55230.0,54280.0,55010.0,301910.0,,,,,,
VHM,2018-11-16,54280.0,54570.0,51360.0,51870.0,788790.0,,,,,,
VHM,2018-11-19,52090.0,53110.0,50930.0,53110.0,323690.0,,,,,,
VHM,2018-11-20,52530.0,55010.0,52530.0,54640.0,500750.0,,,,,,
VHM,2018-11-21,54640.0,55230.0,53330.0,55230.0,451550.0,,,,,,
VHM,2018-11-22,55010.0,56830.0,54640.0,56100.0,504210.0,,,,,,
VHM,2018-11-23,56100.0,56680.0,55440.0,55440.0,89640.0,,,,,,
VHM,2018-11-26,55370.0,56320.0,55010.0,56100.0,301550.0,,,,,,
VHM,2018-11-27,56460.0,57270.0,56390.0,57050.0,399420.0,,,,,,
VHM,2018-11-28,56830.0,57120.0,56460.0,57050.0,170200.0,,,,,,
