symbol,date,open,high,low,close,volume,"('date', '')","('open', 'GAS.VN')","('high', 'GAS.VN')","('low', 'GAS.VN')","('close', 'GAS.VN')","('volume', 'GAS.VN')"
GAS,2018-04-24,70990.0,73730.0,67180.0,73340.0,642240.0,,,,,,
GAS,2018-04-26,73380.0,73730.0,68210.0,68210.0,1075280.0,,,,,,
GAS,2018-04-27,66040.0,68150.0,63480.0,63480.0,953420.0,,,,,,
GAS,2018-05-02,59770.0,61480.0,59040.0,59040.0,284180.0,,,,,,
GAS,2018-05-03,54940.0,56940.0,54940.0,54940.0,1512540.0,,,,,,
GAS,2018-05-04,55790.0,57960.0,55000.0,55790.0,686180.0,,,,,,
GAS,2018-05-07,57500.0,58920.0,56190.0,58920.0,426370.0,,,,,,
GAS,2018-05-08,58920.0,60350.0,58070.0,58640.0,798500.0,,,,,,
GAS,2018-05-09,59210.0,62500.0,58920.0,61200.0,820800.0,,,,,,
GAS,2018-05-10,62690.0,64040.0,59770.0,59770.0,879660.0,,,,,,
GAS,2018-05-11,59770.0,63250.0,58350.0,63250.0,810690.0,,,,,,
GAS,2018-05-14,63310.0,67180.0,63310.0,67180.0,617860.0,,,,,,
GAS,2018-05-15,67740.0,69170.0,67520.0,67520.0,678850.0,,,,,,
GAS,2018-05-16,66040.0,68420.0,66040.0,68150.0,606740.0,,,,,,
GAS,2018-05-17,68880.0,69460.0,66040.0,66040.0,403650.0,,,,,,
GAS,2018-05-18,66040.0,66610.0,62120.0,65470.0,780910.0,,,,,,
GAS,2018-05-21,66890.0,66890.0,61780.0,61780.0,441810.0,,,,,,
GAS,2018-05-22,61480.0,62910.0,58180.0,60300.0,464230.0,,,,,,
GAS,2018-05-23,60060.0,64510.0,59770.0,64510.0,600060.0,,,,,,
GAS,2018-05-24,64620.0,65530.0,61550.0,64450.0,285680.0,,,,,,
GAS,2018-05-25,62630.0,63190.0,59940.0,59940.0,479980.0,,,,,,
GAS,2018-05-28,55790.0,56940.0,55790.0,55790.0,479870.0,,,,,,
GAS,2018-05-29,51930.0,56880.0,51930.0,54660.0,1241130.0,,,,,,
GAS,2018-05-30,54660.0,54660.0,50850.0,50850.0,1176750.0,,,,,,
GAS,2018-05-31,51810.0,52960.0,51460.0,51460.0,1078930.0,,,,,,
GAS,2018-06-01,52380.0,53120.0,52100.0,52660.0,632800.0,,,,,,
GAS,2018-06-04,52890.0,53290.0,51810.0,52550.0,948070.0,,,,,,
GAS,2018-06-05,52380.0,56190.0,52320.0,56190.0,1375130.0,,,,,,
GAS,2018-06-06,57500.0,58810.0,56360.0,58590.0,610180.0,,,,,,
GAS,2018-06-07,58640.0,58640.0,55230.0,56700.0,1220730.0,,,,,,
GAS,2018-06-08,56650.0,57500.0,54660.0,55520.0,886300.0,,,,,,
GAS,2018-06-11,54660.0,56880.0,54140.0,55350.0,430500.0,,,,,,
GAS,2018-06-12,54420.0,55110.0,51810.0,52500.0,975270.0,,,,,,
GAS,2018-06-13,52960.0,55000.0,52960.0,55000.0,581410.0,,,,,,
GAS,2018-06-14,55230.0,55790.0,53510.0,53510.0,441200.0,,,,,,
GAS,2018-06-15,53510.0,54600.0,53510.0,54600.0,424790.0,,,,,,
GAS,2018-06-18,54090.0,54260.0,51240.0,51240.0,804300.0,,,,,,
GAS,2018-06-19,50390.0,50950.0,47650.0,49530.0,1737920.0,,,,,,
GAS,2018-06-20,50100.0,52380.0,48680.0,52380.0,590050.0,,,,,,
GAS,2018-06-21,52380.0,52380.0,50390.0,50730.0,423980.0,,,,,,
GAS,2018-06-22,49590.0,52430.0,49530.0,51650.0,953560.0,,,,,,
GAS,2018-06-25,53460.0,53810.0,51810.0,51810.0,559460.0,,,,,,
GAS,2018-06-26,50100.0,51530.0,50100.0,51240.0,362610.0,,,,,,
GAS,2018-06-27,52320.0,52660.0,51240.0,51360.0,759500.0,,,,,,
GAS,2018-06-28,51750.0,52110.0,50650.0,50830.0,423120.0,,,,,,
GAS,2018-06-29,50830.0,51830.0,50070.0,51540.0,381860.0,,,,,,
GAS,2018-07-02,50650.0,52000.0,48970.0,51460.0,781630.0,,,,,,
GAS,2018-07-03,51460.0,51540.0,48330.0,48330.0,550270.0,,,,,,
GAS,2018-07-04,48900.0,49270.0,45360.0,46290.0,866710.0,,,,,,
GAS,2018-07-05,46290.0,46880.0,43080.0,43080.0,625240.0,,,,,,
GAS,2018-07-06,42510.0,46060.0,40760.0,46060.0,744380.0,,,,,,
GAS,2018-07-09,46290.0,48800.0,46290.0,46290.0,499120.0,,,,,,
GAS,2018-07-10,46880.0,48330.0,46570.0,46570.0,552090.0,,,,,,
GAS,2018-07-11,45420.0,46570.0,44320.0,45290.0,616210.0,,,,,,
GAS,2018-07-12,44530.0,46520.0,44320.0,46000.0,237010.0,,,,,,
GAS,2018-07-13,46000.0,47740.0,46000.0,47630.0,416710.0,,,,,,
GAS,2018-07-16,47740.0,48030.0,46700.0,47280.0,219390.0,,,,,,
GAS,2018-07-17,46340.0,46460.0,45420.0,46000.0,518690.0,,,,,,
GAS,2018-07-18,46570.0,48330.0,46290.0,48330.0,696840.0,,,,,,
GAS,2018-07-19,48900.0,49550.0,48500.0,49020.0,455830.0,,,,,,
GAS,2018-07-20,48900.0,48900.0,47810.0,48150.0,545360.0,,,,,,
GAS,2018-07-23,49020.0,50120.0,48620.0,49270.0,668990.0,,,,,,
GAS,2018-07-24,49440.0,50070.0,47980.0,49370.0,406130.0,,,,,,
GAS,2018-07-25,49780.0,50300.0,48670.0,48730.0,398500.0,,,,,,
GAS,2018-07-26,48970.0,49440.0,47980.0,48380.0,318080.0,,,,,,
GAS,2018-07-27,49200.0,49780.0,48560.0,49370.0,328400.0,,,,,,
GAS,2018-07-30,49660.0,50600.0,48900.0,50600.0,496190.0,,,,,,
GAS,2018-07-31,50940.0,52050.0,50190.0,51110.0,591060.0,,,,,,
GAS,2018-08-01,51110.0,52580.0,50710.0,51650.0,601640.0,,,,,,
GAS,2018-08-02,52000.0,53270.0,51290.0,52980.0,638300.0,,,,,,
GAS,2018-08-03,53270.0,55550.0,53270.0,54500.0,786540.0,,,,,,
GAS,2018-08-06,54970.0,56480.0,54150.0,55950.0,795130.0,,,,,,
GAS,2018-08-07,56190.0,56190.0,54560.0,54730.0,661110.0,,,,,,
GAS,2018-08-08,55370.0,57060.0,55310.0,57060.0,892220.0,,,,,,
GAS,2018-08-09,56770.0,57360.0,55950.0,57170.0,573240.0,,,,,,
GAS,2018-08-10,57170.0,57530.0,56600.0,57470.0,571920.0,,,,,,
GAS,2018-08-13,57060.0,59970.0,56710.0,59970.0,552870.0,,,,,,
GAS,2018-08-14,59970.0,60320.0,58220.0,58920.0,399060.0,,,,,,
GAS,2018-08-15,58920.0,59390.0,55310.0,55310.0,660200.0,,,,,,
GAS,2018-08-16,54150.0,55840.0,52400.0,55020.0,926520.0,,,,,,
GAS,2018-08-17,56480.0,56530.0,55550.0,56010.0,245620.0,,,,,,
GAS,2018-08-20,56010.0,57240.0,55780.0,57170.0,342360.0,,,,,,
GAS,2018-08-21,56530.0,57060.0,56070.0,56770.0,488840.0,,,,,,
GAS,2018-08-22,57360.0,58520.0,57120.0,58220.0,569580.0,,,,,,
GAS,2018-08-23,58800.0,59510.0,57700.0,58450.0,332960.0,,,,,,
GAS,2018-08-24,58110.0,59620.0,58110.0,59090.0,515530.0,,,,,,
GAS,2018-08-27,59930.0,60110.0,59390.0,59520.0,451380.0,,,,,,
GAS,2018-08-28,59930.0,60880.0,59220.0,60700.0,433220.0,,,,,,
GAS,2018-08-29,60700.0,60940.0,59270.0,59930.0,370820.0,,,,,,
GAS,2018-08-30,59990.0,62360.0,59390.0,62360.0,723510.0,,,,,,
GAS,2018-08-31,62360.0,63080.0,61170.0,61170.0,382800.0,,,,,,
GAS,2018-09-04,61170.0,61770.0,60410.0,61170.0,433000.0,,,,,,
GAS,2018-09-05,60290.0,61170.0,58500.0,59460.0,508070.0,,,,,,
GAS,2018-09-06,59390.0,60290.0,58790.0,59520.0,257060.0,,,,,,
GAS,2018-09-07,58910.0,59990.0,58750.0,59640.0,368200.0,,,,,,
GAS,2018-09-10,59640.0,60760.0,59640.0,59870.0,197420.0,,,,,,
GAS,2018-09-11,59390.0,61480.0,59390.0,61480.0,463340.0,,,,,,
GAS,2018-09-12,62360.0,65680.0,61770.0,64730.0,1239470.0,,,,,,
GAS,2018-09-13,64860.0,66820.0,63370.0,64140.0,472370.0,,,,,,
GAS,2018-09-14,63620.0,65160.0,63260.0,64140.0,502510.0,,,,,,
GAS,2018-09-17,64140.0,65810.0,63670.0,64730.0,687310.0,,,,,,
GAS,2018-09-18,64140.0,65209.0,63670.0,65090.0,268030.0,,,,,,
GAS,2018-09-19,66520.0,67060.0,65930.0,66590.0,545150.0,,,,,,
GAS,2018-09-20,67110.0,69140.0,66880.0,68890.0,563350.0,,,,,,
GAS,2018-09-21,68660.0,69370.0,67890.0,68840.0,461610.0,,,,,,
GAS,2018-09-24,68840.0,70090.0,68840.0,69970.0,339610.0,,,,,,
GAS,2018-09-25,71210.0,71210.0,70090.0,70090.0,411900.0,,,,,,
GAS,2018-09-26,70090.0,70560.0,69550.0,69550.0,327570.0,,,,,,
GAS,2018-09-27,69970.0,70020.0,68120.0,69620.0,386390.0,,,,,,
GAS,2018-09-28,70090.0,70090.0,68710.0,68710.0,286600.0,,,,,,
GAS,2018-10-01,68790.0,71210.0,68790.0,71030.0,493290.0,,,,,,
GAS,2018-10-02,71160.0,73350.0,71100.0,72170.0,515710.0,,,,,,
GAS,2018-10-03,71800.0,73050.0,71750.0,72870.0,239720.0,,,,,,
GAS,2018-10-04,74240.0,74240.0,73050.0,73650.0,227900.0,,,,,,
GAS,2018-10-05,72400.0,73410.0,71270.0,71270.0,403490.0,,,,,,
GAS,2018-10-08,69790.0,70560.0,69010.0,69190.0,347700.0,,,,,,
GAS,2018-10-09,71270.0,71270.0,70020.0,70860.0,169930.0,,,,,,
GAS,2018-10-10,71270.0,71930.0,70860.0,71870.0,185290.0,,,,,,
GAS,2018-10-11,67000.0,69370.0,66880.0,66880.0,944220.0,,,,,,
GAS,2018-10-12,66880.0,71210.0,64140.0,71210.0,607890.0,,,,,,
GAS,2018-10-15,70090.0,71270.0,68310.0,68310.0,473420.0,,,,,,
GAS,2018-10-16,68310.0,70320.0,68240.0,69370.0,316710.0,,,,,,
GAS,2018-10-17,70680.0,70980.0,69370.0,69550.0,492070.0,,,,,,
GAS,2018-10-18,68960.0,69190.0,68020.0,68020.0,242460.0,,,,,,
GAS,2018-10-19,65330.0,67590.0,65330.0,66520.0,654420.0,,,,,,
GAS,2018-10-22,67110.0,68060.0,66520.0,66520.0,341980.0,,,,,,
GAS,2018-10-23,66520.0,66520.0,63020.0,64980.0,384490.0,,,,,,
GAS,2018-10-24,63620.0,64319.0,60470.0,60470.0,798130.0,,,,,,
GAS,2018-10-25,57620.0,60580.0,56490.0,60470.0,568570.0,,,,,,
GAS,2018-10-26,61770.0,61950.0,60470.0,60470.0,473890.0,,,,,,
GAS,2018-10-29,60340.0,60410.0,56720.0,57620.0,481650.0,,,,,,
GAS,2018-10-30,57360.0,59090.0,57150.0,58790.0,526490.0,,,,,,
GAS,2018-10-31,59700.0,61770.0,59390.0,61770.0,516660.0,,,,,,
GAS,2018-11-01,61170.0,61420.0,60160.0,60290.0,282450.0,,,,,,
GAS,2018-11-02,60160.0,61120.0,59090.0,61000.0,665140.0,,,,,,
GAS,2018-11-05,60290.0,60880.0,59340.0,60760.0,460360.0,,,,,,
GAS,2018-11-06,61590.0,62010.0,60340.0,60520.0,413030.0,,,,,,
GAS,2018-11-07,59870.0,60580.0,58870.0,59270.0,605260.0,,,,,,
GAS,2018-11-08,60580.0,60580.0,59460.0,59460.0,229280.0,,,,,,
GAS,2018-11-09,59160.0,59160.0,56420.0,56420.0,681560.0,,,,,,
GAS,2018-11-12,56420.0,57840.0,55540.0,57360.0,438100.0,,,,,,
GAS,2018-11-13,55470.0,56310.0,55300.0,55770.0,438310.0,,,,,,
GAS,2018-11-14,54640.0,55540.0,52860.0,53580.0,807750.0,,,,,,
GAS,2018-11-15,54580.0,55230.0,53510.0,53690.0,612630.0,,,,,,
GAS,2018-11-16,54940.0,56420.0,54220.0,56420.0,580710.0,,,,,,
GAS,2018-11-19,56420.0,57620.0,56420.0,57260.0,516050.0,,,,,,
GAS,2018-11-20,56890.0,57550.0,56490.0,57080.0,513460.0,,,,,,
GAS,2018-11-21,55830.0,56130.0,55360.0,55770.0,734350.0,,,,,,
GAS,2018-11-22,55770.0,56670.0,55230.0,55360.0,295800.0,,,,,,
GAS,2018-11-23,55230.0,55590.0,54700.0,54940.0,292670.0,,,,,,
GAS,2018-11-26,53810.0,54460.0,53580.0,53940.0,668590.0,,,,,,
GAS,2018-11-27,54520.0,54890.0,53630.0,53810.0,529980.0,,,,,,
GAS,2018-11-28,53810.0,54940.0,53750.0,54350.0,563260.0,,,,,,
GAS,2018-11-29,54760.0,54760.0,52920.0,53510.0,908960.0,,,,,,
GAS,2018-11-30,53580.0,54170.0,53270.0,53940.0,437560.0,,,,,,
GAS,2018-12-03,55830.0,57620.0,55360.0,57620.0,1357490.0,,,,,,
GAS,2018-12-04,57620.0,57920.0,56720.0,57320.0,850850.0,,,,,,
GAS,2018-12-05,56720.0,57320.0,56130.0,57080.0,576190.0,,,,,,
GAS,2018-12-06,56720.0,57550.0,55950.0,56490.0,831270.0,,,,,,
GAS,2018-12-07,56420.0,57490.0,56420.0,57190.0,936130.0,,,,,,
GAS,2018-12-10,57320.0,58790.0,57150.0,58030.0,1017190.0,,,,,,
GAS,2018-12-11,57620.0,57790.0,57020.0,57080.0,613810.0,,,,,,
GAS,2018-12-12,57080.0,57960.0,57080.0,57620.0,466030.0,,,,,,
GAS,2018-12-13,57620.0,58430.0,57490.0,57660.0,464540.0,,,,,,
GAS,2018-12-14,57790.0,58210.0,56720.0,56890.0,584180.0,,,,,,
GAS,2018-12-17,56890.0,56890.0,55230.0,55230.0,805870.0,,,,,,
GAS,2018-12-18,54040.0,55540.0,53940.0,55540.0,818850.0,,,,,,
GAS,2018-12-19,55540.0,55540.0,53750.0,54640.0,802830.0,,,,,,
GAS,2018-12-20,54420.0,55540.0,54420.0,55540.0,303240.0,,,,,,
GAS,2018-12-21,54640.0,54890.0,54040.0,54460.0,208950.0,,,,,,
GAS,2018-12-24,54110.0,54220.0,52860.0,52860.0,718380.0,,,,,,
GAS,2018-12-25,50190.0,51380.0,49600.0,50960.0,758570.0,,,,,,
GAS,2018-12-26,50960.0,51320.0,48940.0,49290.0,684770.0,,,,,,
GAS,2018-12-27,51670.0,52090.0,50960.0,51380.0,555700.0,,,,,,
GAS,2018-12-28,51380.0,51730.0,50600.0,51440.0,351010.0,,,,,,
GAS,2019-01-02,51140.0,51620.0,51140.0,51550.0,417520.0,,,,,,
GAS,2019-01-03,51380.0,51670.0,49890.0,50300.0,404480.0,,,,,,
GAS,2019-01-04,49780.0,50780.0,48940.0,50190.0,336550.0,,,,,,
GAS,2019-01-07,51380.0,51840.0,50780.0,51250.0,255840.0,,,,,,
GAS,2019-01-08,51250.0,52680.0,51250.0,52440.0,600270.0,,,,,,
GAS,2019-01-09,53270.0,53690.0,52860.0,53400.0,515500.0,,,,,,
GAS,2019-01-10,53990.0,54760.0,53750.0,54220.0,685580.0,,,,,,
GAS,2019-01-11,54280.0,54460.0,53510.0,54040.0,338400.0,,,,,,
GAS,2019-01-14,53940.0,53940.0,52860.0,53160.0,370320.0,,,,,,
GAS,2019-01-15,53160.0,53750.0,53160.0,53630.0,368380.0,,,,,,
GAS,2019-01-16,54280.0,54280.0,53630.0,53810.0,198780.0,,,,,,
GAS,2019-01-17,54040.0,54040.0,52860.0,52860.0,178680.0,,,,,,
GAS,2019-01-18,53160.0,53340.0,52680.0,52860.0,227340.0,,,,,,
GAS,2019-01-21,53940.0,54110.0,53160.0,53750.0,257610.0,,,,,,
GAS,2019-01-22,53940.0,53990.0,53270.0,53270.0,220970.0,,,,,,
GAS,2019-01-23,53220.0,53750.0,52920.0,53460.0,227610.0,,,,,,
GAS,2019-01-24,53510.0,54220.0,53340.0,53340.0,332180.0,,,,,,
GAS,2019-01-25,53100.0,53630.0,53040.0,53160.0,325280.0,,,,,,
GAS,2019-01-28,53510.0,53580.0,52980.0,53160.0,189380.0,,,,,,
GAS,2019-01-29,52630.0,52860.0,51970.0,52210.0,309890.0,,,,,,
GAS,2019-01-30,52270.0,52860.0,52270.0,52270.0,216190.0,,,,,,
GAS,2019-01-31,53100.0,53100.0,52150.0,52150.0,327020.0,,,,,,
GAS,2019-02-01,52440.0,52740.0,52270.0,52270.0,329360.0,,,,,,
GAS,2019-02-11,52740.0,53750.0,52150.0,53750.0,513260.0,,,,,,
GAS,2019-02-12,53580.0,54640.0,53460.0,54040.0,623510.0,,,,,,
GAS,2019-02-13,54520.0,55590.0,54420.0,55230.0,571680.0,,,,,,
GAS,2019-02-14,55300.0,55650.0,54820.0,54940.0,475450.0,,,,,,
GAS,2019-02-15,55120.0,56010.0,54940.0,55830.0,916910.0,,,,,,
GAS,2019-02-18,56720.0,57840.0,56420.0,57740.0,971850.0,,,,,,
GAS,2019-02-19,57740.0,58140.0,56720.0,57020.0,784000.0,,,,,,
GAS,2019-02-20,57020.0,57190.0,56490.0,57020.0,533120.0,,,,,,
GAS,2019-02-21,57020.0,57920.0,56840.0,57740.0,1213190.0,,,,,,
GAS,2019-02-22,57360.0,59270.0,57080.0,58980.0,876610.0,,,,,,
